"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"210",-52927.461354309,-52546.5245558945,-53131.5106027812,-54493.6626892425,-55183.9991230724,-55535.3663086235,-57914.5977433224,-58312.6159896632,-57496.8126310042,-58129.4613388277,-58454.7004905185,-58610.8242912768,-58557.6583988364,-59654.8598457234,-59592.5563448423,-61148.2570443462,-59945.7440700976,-60390.259475543,-59610.7713392975,-60380.8955985603,-59560.6753245025
"211",-67110.8643305682,-69245.7318543761,-70052.5240045426,-69803.0799420847,-71751.624293427,-72541.5519805838,-71317.4086374341,-72690.1100306972,-73232.6336126518,-73624.2630983732,-73961.4491557914,-73924.8242058534,-74455.3932417726,-72642.9614040036,-73008.1419561018,-72566.3758939051,-75127.7915951744,-73904.9515775462,-73513.9886976398,-73875.8318130494,-74740.0122030726
"212",-69095.662932357,-69736.0767461041,-70751.1227802796,-70980.0869805195,-71481.6570752422,-72326.7765995813,-73636.6110915437,-74011.6306977314,-74350.4785967917,-76052.8550475978,-74254.2975427547,-74996.9438364386,-74576.104896516,-75657.6615351435,-74147.5359395382,-74325.084567063,-75866.6766579277,-74912.782965342,-74797.7243551411,-75216.984253339,-75501.5544465734
"213",-75893.8126245573,-77528.3006390943,-77828.9351630365,-78514.7651514997,-78242.919767252,-79276.384046186,-80751.0702545912,-80033.1035423364,-80017.8027915384,-80651.9709212011,-81260.6229954778,-80728.8968322194,-81619.9205605221,-82119.1326541327,-81867.4196378274,-82230.996862207,-81706.8309270499,-82039.5849518563,-82152.8042561769,-81713.8379878454,-81172.1183212348
"214",-76286.1900022206,-77280.4238701013,-77559.5300010487,-77806.4521372777,-78437.3628932048,-78498.8623400241,-79555.2528432861,-80722.9845819593,-81726.7115305093,-82708.5804632134,-83804.5344239514,-84362.2442476121,-84095.5216900017,-84511.6237747837,-84255.8928701114,-82634.7213456499,-83306.4467240131,-83058.8774181459,-82750.9834068282,-81679.645782506,-80911.9969983467
"215",-71538.6450045799,-70996.8525689756,-71962.0571460871,-72723.1599893547,-73204.9707283429,-72877.5791160556,-74202.842003394,-74422.6675469783,-75814.6396074467,-77003.0527229041,-75093.0847213621,-77742.6926280315,-77288.7561278829,-77590.0866654773,-77564.1288114859,-77786.2518010398,-77882.1958493831,-79141.541187299,-77252.6375803798,-76356.7619003974,-76664.6466218727
"216",-74400.0610522431,-75131.1223306059,-76578.5275334356,-77515.2399234698,-78455.8005885835,-78448.8685539813,-78351.0520539235,-78885.2178096638,-78653.8365505082,-78834.119677646,-79652.3383125848,-79804.9488882236,-80317.9362688149,-78947.9625047408,-80075.2040067055,-80332.3826145776,-80872.5388632917,-80432.8146900247,-80815.1333374695,-79947.6849536022,-79659.1857627884
"217",-70552.1141622587,-72034.7449399147,-71301.6777421591,-71775.8115412692,-72941.3109034856,-74924.4533666789,-74796.3923061958,-76659.9128885796,-77324.1424027111,-76785.3327584854,-77114.0075974386,-77448.4974656535,-76785.0097264783,-77825.4702097112,-77262.6753647792,-77159.9899680926,-77204.4130989855,-77012.7258415885,-75771.6707048233,-77005.5014766649,-76918.6109428959
"218",-70258.2314019874,-71167.7703807347,-71712.728889191,-73057.7411244028,-73338.0207974045,-75574.7642673226,-76648.2311086559,-76404.0229237089,-76855.6630650184,-77017.7099325657,-76500.317802252,-77400.2401937562,-76946.2658599201,-76440.5813982648,-76391.9091111539,-74294.4172737018,-74995.477184425,-76904.5267797639,-76714.5725692412,-76290.7682991054,-76239.9399563686
"219",-42004.5331950932,-42601.832284275,-44564.9567291795,-45894.2977549412,-48579.9749894327,-48113.3721120236,-48234.1582076426,-49960.0180831578,-50715.7816795302,-52781.5687383391,-50261.6030256653,-50592.5398136581,-53364.5028524595,-54377.8078217699,-53947.6628157592,-53843.2132285183,-51374.1597894794,-52031.9622077093,-53902.1658852798,-56563.8557018953,-57028.1229404406
"220",-60105.8056124528,-59807.6625839549,-60691.557688155,-61540.4059878514,-61853.9953960155,-63109.9779956927,-64365.6187388355,-64350.7853778112,-64528.3645296281,-64797.9443099919,-64331.939107475,-65985.2657707862,-66631.3276105645,-66300.4208472135,-67135.6724530732,-67093.501439587,-66150.7489620436,-66988.2427474324,-68115.4359205815,-69616.9495396566,-68747.5522942338
"221",-68120.8554387208,-68777.98975513,-68624.6550502257,-70105.1337462932,-71959.3947536521,-75745.512980367,-75981.3725251135,-75564.0973769457,-75010.284108473,-75569.2133307915,-75391.399748622,-76395.5853265601,-76743.0352800031,-77080.2010630268,-76816.1421122202,-74564.2106962744,-75950.1003936278,-75113.2860170648,-74522.5217224408,-75268.9319235106,-75204.9967402721
"222",-75920.2743975358,-75647.664766362,-76422.2427561433,-76275.9603890717,-76202.2615386799,-75517.6905057464,-76063.5830973612,-76406.2994847934,-76932.9260913846,-76730.683132093,-79018.9251217919,-78630.0239783458,-78817.1257231504,-79405.2597910352,-81346.7036282937,-82200.0912304039,-81811.3147624049,-82300.8961798659,-83325.6273760882,-84468.2349109137,-82867.2844848421
"223",-73173.1185372969,-73566.4822403194,-72993.680038621,-75178.4639038973,-75123.9230314122,-76167.1592392286,-76498.9893819699,-78485.6652772138,-77829.6245498752,-78739.9763443718,-78641.8684668725,-79355.1324321333,-79224.4158216778,-80271.1200862188,-81400.4509938222,-81219.841414383,-79201.5747312293,-79714.8807682742,-79669.7451620546,-79265.7787609915,-77735.1781421627
"224",-73866.5757152615,-74582.5889802054,-74786.2365865364,-75676.2235586893,-76848.8954196832,-77707.9502598388,-78588.17790691,-78907.4231490838,-79381.1497926683,-79732.1782728784,-79912.2357068523,-79901.5852592487,-80376.085852806,-80574.3090065359,-79676.4934829901,-80060.6678434801,-80122.6423949221,-80653.5730187185,-79094.7658289655,-79178.3202129747,-79842.1612721274
"225",-73540.7973237789,-74721.4289607936,-75956.0682316588,-78651.9282362837,-78199.2124264857,-79712.4804555838,-80685.4896084315,-80002.3996098027,-80673.9187310457,-80949.647015985,-81578.0652324027,-81911.3834696456,-82401.1359171183,-82507.5011842329,-82804.992055812,-81945.8580554743,-82568.0580180688,-81927.8630312472,-81071.3645252458,-81303.249165011,-81185.8430596859
