"","V1","V2","V3","V4","V5"
"result.613",-80474.3741457073,-80306.6153740399,-80432.075561175,-80326.1016036883,-80163.3489096255
"result.614",-80831.8525346504,-80679.580885358,-80816.5932979846,-80725.102370302,-80644.8005096297
"result.615",-80708.9704686294,-80578.3497937881,-80670.1801908544,-80595.2555792374,-80436.6978645911
"result.616",-81134.5067324079,-80957.5174032483,-81039.38123689,-80942.1318217942,-80764.2592428899
"result.617",-82392.6467846571,-82209.5429087082,-82198.9372002439,-82068.6553118739,-81941.6126985502
"result.618",-82654.1959009362,-82431.4781303341,-82443.0832747071,-82311.9667164386,-82154.6840324172
"result.619",-83088.3669249869,-82877.9435018164,-82893.3822076033,-82732.4603779521,-82579.5905921267
"result.620",-82430.1618168326,-82221.6987060095,-82240.1099073355,-82085.8126050926,-81925.6649224075
"result.621",-82313.9773913199,-82106.1306314797,-82196.1405311711,-82099.8498991054,-81936.0307446613
"result.622",-84352.3968447541,-84103.3453134533,-84093.1144470006,-83952.6556044003,-83800.1355323801
"result.623",-85100.9981290059,-84872.1569530697,-84976.233563626,-84841.7668454245,-84662.2489832337
"result.624",-86393.7860407376,-86225.421731435,-86211.6794479602,-86046.1361980678,-85853.5556401054
"result.625",-83954.0161783421,-83880.7283002128,-83911.03166412,-83798.4329715089,-83610.7665489457
"result.626",-84615.7129589884,-84711.6863150116,-84719.2808083433,-84627.7758587916,-84508.9907176683
"result.627",-87312.0336903659,-87121.0353573968,-87096.7070533932,-86928.7677058053,-86732.6535308558
"result.628",-86059.3716894441,-85821.0291004989,-85757.429791594,-85575.1911911561,-85389.3192677237
"result.629",-83536.2671270725,-83295.4386705569,-83429.5172839309,-83307.3073134351,-83176.8032634733
"result.630",-82654.6153515467,-82427.2602650184,-82555.3419846937,-82464.7789330048,-82308.486924604
"result.631",-84163.3924961565,-83930.8587613051,-83919.5932200217,-83777.4477517799,-83611.5951688461
"result.632",-83248.142888834,-83018.6244165808,-83060.8974337212,-82952.9140013752,-82795.2509513197
"result.633",-84481.8152391518,-84303.5677783084,-84291.9833567336,-84184.9075818376,-83986.3731557566
"result.634",-83239.0831611069,-83022.6003743492,-83045.2959867377,-82883.9213431197,-82736.780962202
"result.635",-82913.1564789308,-82733.7174666653,-82769.1588868197,-82622.4083309614,-82498.8765279709
"result.636",-82149.4365620575,-82008.7277498596,-82136.1086838382,-82069.183505661,-81905.7808108857
"result.637",-82039.6459648246,-81898.8453532735,-81967.8046334094,-81810.1642405264,-81657.8707549892
"result.638",-81321.9820813487,-81156.5506101944,-81169.787481479,-81017.2251302341,-80883.9758691435
"result.639",-81083.335749228,-80885.4548790696,-81022.0627750254,-80920.8178693449,-80752.9231097275
"result.640",-79994.1631486177,-79841.8197781724,-79922.9577555846,-79760.192761407,-79575.2175141201
"result.641",-78640.6065683358,-78482.6662368513,-78502.4210490159,-78443.4539767171,-78291.7530778193
"result.642",-77266.2366657591,-77104.0298393415,-77250.1342666733,-77119.7691939958,-76987.6370971158
"result.643",-76708.4192018901,-76535.3227972238,-76530.683812831,-76403.5108194791,-76259.418483651
