"","V1","V2","V3","V4","V5"
"result.2339",-112804.741029075,-112809.121348898,-112725.944523252,-112531.707795684,-112176.708103093
"result.2340",-112247.401367371,-112359.948604525,-112416.829846322,-112336.394412403,-112123.779788089
"result.2341",-112413.949985156,-112461.908583922,-112489.250291289,-112356.839199699,-112051.717462518
"result.2342",-112533.000191899,-112590.068718792,-112558.430000553,-112404.824202679,-112071.866689397
"result.2343",-112386.65368866,-112378.270714873,-112350.858848814,-112177.604212429,-111865.884527822
"result.2344",-112217.099349881,-112183.426044031,-112069.535607321,-111806.753611841,-111425.248337418
"result.2345",-113264.315972984,-113309.651535872,-113308.911388485,-113184.946598654,-112911.905506316
"result.2346",-113838.708763317,-113868.374128405,-113765.968105621,-113527.69148143,-113180.792115516
"result.2347",-113301.54647809,-113563.294365464,-113549.824153704,-113509.911073827,-113318.260920671
"result.2348",-111348.683394537,-111570.248563665,-111529.528534433,-111404.242053597,-111177.477158941
"result.2349",-113483.237745752,-113480.391894437,-113422.495843992,-113265.876686509,-112943.919196618
"result.2350",-113197.929520437,-113163.125763102,-113072.472634415,-112855.347556517,-112485.028856196
"result.2351",-113581.551759702,-113527.186663912,-113497.685223118,-113325.047834336,-113003.35951019
"result.2352",-112683.173281347,-112607.177693607,-112477.180958554,-112195.551378737,-111844.186178016
"result.2353",-113658.259472512,-113618.627044482,-113579.006397838,-113388.408871959,-113070.74009613
"result.2354",-113393.364836678,-113469.075044873,-113448.635755629,-113318.518031386,-113086.780490156
"result.2355",-113701.68557354,-113832.358903318,-113773.499287026,-113610.537950293,-113259.524233343
"result.2356",-112207.399020045,-112224.148066221,-112184.93238891,-112002.72486073,-111673.264828575
"result.2357",-112715.819552128,-112830.578857076,-112844.353003066,-112746.538203798,-112488.001943782
"result.2358",-111507.986070797,-111660.950733864,-111758.081220274,-111666.600667999,-111380.901192797
"result.2359",-110364.015786005,-110448.049886408,-110494.942128875,-110468.143478886,-110280.574938464
"result.2360",-109828.215557217,-110012.509358457,-110126.57315354,-110078.33873941,-109871.948651186
"result.2361",-109662.176709227,-109728.348136078,-109770.492597534,-109709.684020057,-109473.238677641
"result.2362",-108614.952371112,-108713.997381725,-108817.2790243,-108785.298962843,-108590.363410779
"result.2363",-108336.352068151,-108389.187612904,-108477.030479641,-108425.937237754,-108216.964156718
"result.2364",-107715.93203187,-107799.366859289,-107852.075588041,-107756.159607036,-107451.938858778
"result.2365",-108313.236172752,-108352.586668608,-108397.843439265,-108321.474447356,-108066.597926715
"result.2366",-107353.620382775,-107413.72812283,-107460.06284639,-107428.846598459,-107164.974569627
"result.2367",-107495.618328841,-107554.38466419,-107585.348130174,-107473.752089819,-107231.005044326
"result.2368",-106746.311908038,-106809.158228949,-106850.419341784,-106744.890419105,-106461.837224367
"result.2369",-106754.401796348,-106760.428774356,-106780.063894702,-106674.346744643,-106421.808434576
"result.2370",-106331.093917078,-106360.541613024,-106415.715353698,-106305.111154462,-106057.632235098
"result.2371",-106532.833936874,-106552.974118066,-106634.363006914,-106558.740694749,-106303.754029545
"result.2372",-106116.698959704,-106220.375536288,-106278.931588582,-106210.557846995,-105961.424787977
"result.2373",-105787.873783124,-105789.518879984,-105839.639712156,-105746.688566785,-105470.524043295
"result.2374",-106311.382410318,-106332.237684805,-106427.982671593,-106302.334185282,-105987.251234357
"result.2375",-105838.584082464,-105827.851655013,-105835.147267697,-105668.796781844,-105367.251058134
"result.2376",-97448.5519505942,-97481.6255034348,-97547.2763841554,-97451.9887968032,-97191.8222226072
"result.2377",-106694.772410832,-106665.922748466,-106666.994392994,-106527.794074472,-106188.682766945
"result.2378",-106014.930404651,-106143.536147762,-106258.909522658,-106183.279545442,-105917.240997045
"result.2379",-106342.138054835,-106364.36573537,-106432.145200348,-106325.883933741,-106091.870062905
"result.2380",-106344.69201661,-106351.335302183,-106451.727495379,-106400.092467561,-106087.340273244
"result.2381",-106295.363615619,-106310.328910775,-106343.56435114,-106240.531049171,-105979.046218579
"result.2382",-106896.949951694,-106918.561903955,-106946.082858079,-106777.683221226,-106502.389527288
"result.2383",-106119.633985528,-106101.656068755,-106126.929105922,-106034.575443916,-105767.809819997
